t_wall,px,py,yaw_deg,plan_rel_deg,front_obst_m,cmd_nav_vx,cmd_nav_wz
1788372153.319,1.540,1.010,1.3,-15.5,2.850,0.3182,0.0000
1788372153.544,1.587,1.010,1.0,-16.5,2.792,0.3500,6.0000
1788372153.762,1.646,1.011,1.0,-16.9,2.732,0.3500,6.0000
1788372153.978,1.680,1.014,1.4,-17.1,2.672,0.3500,6.0000
1788372154.216,1.731,1.015,1.4,-14.5,2.613,0.3500,6.0000
1788372154.434,1.788,1.013,1.3,-15.7,2.555,0.3182,0.0000
1788372154.649,1.847,1.013,1.2,-17.3,2.495,0.2864,0.0000
1788372154.877,1.909,1.008,1.2,-15.7,2.435,0.3500,6.0000
1788372155.115,1.971,1.008,1.2,-13.3,2.378,0.3500,6.0000
1788372155.335,2.037,1.009,1.4,-15.4,2.319,0.0318,0.0000
1788372155.551,2.099,1.011,1.4,-17.4,2.259,0.1591,0.0000
1788372155.791,2.158,0.997,0.5,-16.4,2.201,0.3500,0.0000
1788372156.006,2.209,0.996,0.4,-17.7,2.143,0.3500,6.0000
1788372156.219,2.282,0.999,0.9,-17.8,2.084,0.3500,6.0000
1788372156.453,2.348,1.001,1.1,-20.2,2.026,0.1591,0.0000
1788372156.685,2.417,0.998,0.2,-20.5,1.967,0.0955,0.0000
1788372156.902,2.481,0.996,-0.0,-21.9,1.909,0.0636,0.0000
1788372157.112,2.529,0.994,-0.6,-22.4,1.850,0.3500,6.0000
1788372157.364,2.588,0.993,-0.6,-17.1,1.793,0.0636,0.0000
1788372157.580,2.657,0.997,-0.4,-20.1,1.736,0.0318,0.0000
1788372157.789,2.718,0.997,-0.4,-21.2,1.681,0.3500,6.0000
1788372158.034,2.780,0.995,-0.2,-22.9,1.627,0.1591,0.0000
1788372158.291,2.847,0.993,-0.1,-16.7,1.576,0.2227,0.0000
1788372158.506,2.908,0.990,-1.0,-16.9,1.524,0.0636,0.0000
1788372158.715,2.969,0.988,-1.3,-18.1,1.477,0.0636,0.0000
1788372158.959,3.032,0.993,-0.8,-21.0,1.431,0.1273,0.0000
1788372159.178,3.093,0.994,-0.7,-23.0,1.389,0.3500,6.0000
1788372159.394,3.147,0.989,-0.8,-16.9,1.352,0.0955,0.0000
1788372159.627,3.207,0.988,-0.8,-18.1,1.327,0.0318,0.0000
1788372159.850,3.269,0.998,-0.6,-21.0,3.937,0.0318,0.0000
1788372160.055,3.334,1.002,-0.6,-23.5,3.878,0.3500,6.0000
1788372160.264,3.402,0.996,-0.8,-21.0,3.819,0.3500,6.0000
1788372160.501,3.464,0.993,-0.8,-22.5,3.762,0.1273,0.0000
1788372160.711,3.517,1.001,-0.5,-25.5,3.705,0.3500,6.0000
1788372160.926,3.572,1.002,-0.4,-27.6,3.650,0.3500,6.0000
1788372161.166,3.596,1.006,-2.5,-27.1,3.601,0.0000,6.0000
1788372161.405,3.596,1.006,-7.6,-18.2,2.968,0.0318,0.0000
1788372161.632,3.596,1.006,-12.7,-13.0,2.389,0.3500,0.0000
1788372161.896,3.619,1.008,-13.6,-13.5,2.109,0.3500,0.0000
1788372162.135,3.676,0.998,-13.6,-15.4,2.087,0.3500,0.0000
1788372162.352,3.720,0.977,-13.6,-12.9,2.060,0.3500,0.0000
1788372162.565,3.772,0.964,-13.6,-14.3,2.034,0.0955,0.0000
1788372162.797,3.827,0.951,-13.6,-15.7,2.007,0.3500,0.0000
1788372163.105,3.861,0.923,-14.8,-13.3,1.977,0.3500,0.0000
1788372163.337,3.919,0.907,-14.8,-6.8,1.947,0.3182,0.0000
1788372163.583,3.984,0.895,-14.7,-7.9,1.917,0.3500,0.0000
1788372163.806,4.032,0.882,-14.7,-8.1,1.888,0.3500,0.0000
1788372164.021,4.105,0.867,-15.1,-5.2,1.858,0.2864,0.0000
1788372164.253,4.162,0.851,-15.1,-1.9,1.829,0.1909,0.0000
1788372164.484,4.206,0.837,-15.7,1.3,1.800,0.0000,1.0000
1788372164.690,4.262,0.821,-15.7,4.6,1.771,0.1273,0.0000
1788372164.904,4.292,0.804,-16.1,9.2,1.742,0.0955,0.0000
1788372165.141,4.347,0.788,-16.1,12.8,1.713,0.0318,0.0000
1788372165.362,4.398,0.787,-15.3,9.7,1.685,0.0636,0.0000
1788372165.574,4.453,0.772,-15.3,14.3,1.657,0.0000,2.0000
1788372165.794,4.503,0.764,-15.3,18.2,1.629,0.0000,2.9977
1788372166.026,4.557,0.749,-15.3,28.9,1.601,0.0000,3.1193
1788372166.238,4.623,0.731,-16.3,34.0,1.573,0.0000,3.4419
1788372166.453,4.677,0.716,-16.3,38.2,1.545,0.0000,3.6288
1788372166.689,4.706,0.719,-11.7,34.6,1.586,0.0000,3.5351
1788372166.907,4.706,0.719,-6.8,29.7,1.906,0.0000,3.3207
1788372167.123,4.702,0.709,-4.3,28.3,2.409,0.0000,3.1447
1788372167.352,4.759,0.703,-3.5,32.1,2.451,0.0000,3.3054
1788372167.585,4.805,0.700,-3.5,36.5,2.396,0.0000,3.5206
1788372167.792,4.853,0.697,-3.5,42.2,2.346,0.0000,3.7729
1788372168.004,4.862,0.696,0.5,39.6,2.319,0.0000,3.7866
1788372168.242,4.857,0.695,5.7,33.9,2.321,0.0000,3.4425
1788372168.471,4.863,0.696,8.3,31.9,2.323,0.0000,3.3137
1788372168.680,4.931,0.709,8.8,40.3,2.293,0.0000,3.5819
1788372168.900,4.980,0.717,8.9,50.0,2.250,0.0000,4.0000
1788372169.131,4.988,0.719,12.8,48.2,2.219,0.0000,4.0000
1788372169.362,4.988,0.719,17.7,43.3,2.221,0.0000,3.9227
1788372169.596,5.009,0.721,22.2,44.6,2.232,0.0000,3.8473
1788372169.834,5.043,0.732,22.6,54.7,2.231,0.0000,-2.2458
1788372170.050,5.058,0.729,28.7,54.5,2.221,0.0000,0.0000
1788372170.266,5.058,0.729,38.1,45.1,2.319,0.0000,0.0000
1788372170.486,5.077,0.726,38.4,52.5,2.394,0.0000,0.0000
1788372170.710,5.073,0.726,38.1,51.0,2.394,0.0000,0.0000
1788372170.919,5.071,0.726,38.1,50.6,2.394,0.0000,0.0000
1788372171.125,5.071,0.726,38.1,50.6,2.394,0.0000,0.0000
1788372171.343,5.071,0.726,38.1,50.6,2.394,0.0000,0.0000
1788372171.561,5.074,0.728,38.1,10.5,2.394,0.2864,0.0000
1788372171.773,5.110,0.756,38.1,10.9,2.370,0.3182,0.0000
1788372171.986,5.158,0.794,38.1,12.2,2.319,0.3500,0.0000
1788372172.221,5.207,0.832,38.1,12.2,2.267,0.3500,0.0000
1788372172.436,5.255,0.870,38.1,12.8,2.216,0.2545,0.0000
1788372172.652,5.272,0.914,38.7,6.9,2.164,0.3182,0.0000
1788372172.872,5.316,0.953,38.8,7.3,2.112,0.3500,0.0000
1788372173.099,5.364,0.991,38.8,7.8,2.573,0.2864,0.0000
1788372173.320,5.420,1.021,38.0,10.6,2.512,0.3182,0.0000
1788372173.533,5.468,1.059,38.0,18.6,2.447,0.3182,0.0000
1788372173.770,5.514,1.091,38.0,20.9,2.383,0.1909,0.0000
1788372173.986,5.562,1.127,38.0,23.1,2.318,0.1591,0.0000
1788372174.203,5.610,1.165,38.0,25.3,2.258,0.3182,-6.0000
1788372174.433,5.655,1.200,38.1,27.2,2.204,0.1273,-6.0000
1788372174.671,5.703,1.238,38.1,25.0,2.150,0.0000,2.4536
1788372174.893,5.749,1.272,38.0,26.5,2.090,0.0000,-6.0000
1788372175.115,5.789,1.304,38.0,29.2,2.025,0.0000,-6.0000
1788372175.364,5.837,1.341,38.0,29.7,1.959,0.2545,-6.0000
1788372175.582,5.893,1.396,37.7,21.7,1.901,0.0000,2.7823
1788372175.796,5.942,1.434,37.7,24.6,1.848,0.0000,2.8627
1788372176.023,5.948,1.434,42.3,20.4,1.814,0.0318,0.0000
1788372176.250,5.949,1.434,47.2,15.7,1.817,0.1273,0.0000
1788372176.469,5.951,1.437,50.7,12.3,1.825,0.3182,0.0000
1788372176.686,5.982,1.471,50.2,11.5,1.803,0.0955,0.0000
1788372176.928,6.021,1.518,50.2,13.6,1.737,0.2864,0.0000
1788372177.145,6.054,1.558,50.2,15.4,1.677,0.1909,0.0000
1788372177.358,6.093,1.605,50.2,17.5,1.625,0.1273,0.0000
1788372177.587,6.147,1.658,50.3,20.7,1.562,0.1909,0.0000
1788372177.810,6.191,1.707,50.3,20.1,1.497,0.3182,-6.0000
1788372178.018,6.230,1.754,50.3,22.6,1.445,0.0000,-6.0000
1788372178.239,6.274,1.804,49.2,27.3,1.381,0.1909,-6.0000
1788372178.482,6.314,1.850,49.2,31.6,1.322,0.1909,-6.0000
1788372178.694,6.365,1.905,50.2,38.0,1.266,0.0000,3.6067
1788372178.908,6.366,1.906,54.3,34.1,1.245,0.0000,3.4706
1788372179.135,6.366,1.906,59.2,29.2,1.277,0.0000,3.2441
1788372179.365,6.360,1.915,62.5,24.8,1.381,0.0000,2.9199
1788372179.574,6.375,1.971,62.8,27.3,1.358,0.0000,3.0551
1788372179.792,6.394,2.016,62.9,32.4,1.327,0.0000,3.3354
1788372180.037,6.415,2.056,62.9,40.4,1.296,0.0000,3.6445
1788372180.251,6.429,2.085,64.3,46.9,1.266,0.0000,4.0000
1788372180.463,6.420,2.070,69.1,37.0,1.351,0.0000,3.6133
1788372180.696,6.419,2.069,74.0,31.8,1.514,0.0000,3.3760
1788372180.924,6.423,2.082,74.9,33.5,1.658,0.0000,3.3574
1788372181.147,6.441,2.104,77.0,41.5,1.638,0.0000,1.3574
1788372181.371,6.441,2.104,81.9,36.6,1.903,0.0000,-1.6426
