t,state,reason,active,lin,ang,nav_wants,x,y,stuck_s,rear_gap,front_gap,side_clear,nearest,guard_blocked,obstacle_mapped,near_mapped
188.3,monitoring,,0,0.0,0.0,1,4.473,2.715,0.22,3.891,4.601,0.407,0.668,0,0,0
188.4,monitoring,,0,0.0,0.0,1,4.462,2.701,0.33,3.83,4.649,0.406,0.668,0,0,0
188.5,monitoring,,0,0.0,0.0,1,4.444,2.677,0.0,3.848,4.631,0.405,0.665,0,0,0
188.6,monitoring,,0,0.0,0.0,1,4.425,2.653,0.11,3.875,4.603,0.406,0.667,0,0,0
188.7,monitoring,,0,0.0,0.0,1,4.412,2.637,0.0,3.903,4.574,0.407,0.669,0,0,0
188.8,monitoring,,0,0.0,0.0,1,4.394,2.613,0.11,3.931,4.545,0.409,0.673,0,0,0
188.9,monitoring,,0,0.0,0.0,1,4.375,2.589,0.0,3.96,4.515,0.409,0.676,0,0,0
189.0,monitoring,,0,0.0,0.0,1,4.356,2.565,0.11,3.988,4.428,0.408,0.68,0,0,0
189.1,monitoring,,0,0.0,0.0,1,4.337,2.54,0.0,4.016,4.4,0.406,0.686,0,0,0
189.2,monitoring,,0,0.0,0.0,1,4.318,2.516,0.12,4.044,4.371,0.405,0.692,0,0,0
189.3,monitoring,,0,0.0,0.0,1,4.311,2.506,0.24,4.072,4.342,0.404,0.701,0,0,0
189.4,monitoring,,0,0.0,0.0,1,4.311,2.506,0.35,3.989,4.402,0.413,0.709,0,0,0
189.5,monitoring,,0,0.0,0.0,1,4.311,2.506,0.45,3.807,4.637,0.421,0.71,0,0,0
189.6,monitoring,,0,0.0,0.0,1,4.311,2.506,0.0,3.648,4.835,0.428,0.709,0,0,0
189.7,monitoring,,0,0.0,0.0,1,4.311,2.506,0.11,3.459,5.06,0.434,0.706,0,0,0
189.8,monitoring,,0,0.0,0.0,1,4.309,2.505,0.21,3.341,5.318,0.44,0.708,0,0,0
189.9,monitoring,,0,0.0,0.0,1,4.296,2.494,0.33,3.31,5.405,0.445,0.712,0,0,0
190.0,monitoring,,0,0.0,0.0,1,4.273,2.475,0.46,3.327,5.388,0.443,0.712,0,0,0
190.1,monitoring,,0,0.0,0.0,1,4.249,2.456,0.0,3.355,5.36,0.439,0.716,0,0,0
190.2,monitoring,,0,0.0,0.0,1,4.225,2.437,0.11,3.383,5.331,0.444,0.726,0,0,0
190.3,monitoring,,0,0.0,0.0,1,4.202,2.417,0.0,3.411,5.303,0.443,0.732,0,0,0
190.4,monitoring,,0,0.0,0.0,1,4.186,2.404,0.11,3.44,5.274,0.442,0.74,0,0,0
190.5,monitoring,,0,0.0,0.0,1,4.162,2.385,0.0,3.468,5.245,0.46,0.75,0,0,0
