t_wall,px,py,yaw_deg,plan_rel_deg,front_obst_m,cmd_nav_vx,cmd_nav_wz
1788371798.963,11.443,3.932,92.5,109.1,3.594,0.0000,4.0000
1788371799.183,11.439,3.974,92.8,113.0,3.550,0.0000,4.0000
1788371799.395,11.437,4.019,92.8,117.0,3.508,0.0000,4.0000
1788371799.614,11.446,4.078,91.5,128.2,3.466,0.0000,4.0000
1788371799.846,11.445,4.123,91.5,132.1,3.424,0.0000,4.0000
1788371800.053,11.445,4.168,91.8,135.2,3.380,0.0000,4.0000
1788371800.265,11.443,4.212,91.9,138.3,3.336,0.0000,4.0000
1788371800.502,11.442,4.250,91.9,140.7,3.293,0.0000,-6.0000
1788371800.725,11.434,4.287,91.7,143.5,3.251,0.0000,1.0000
1788371800.936,11.433,4.332,91.7,145.8,3.209,0.0000,4.0000
1788371801.150,11.440,4.375,91.8,4.3,3.165,0.1909,6.0000
1788371801.386,11.441,4.419,91.8,4.7,3.121,0.0318,-6.0000
1788371801.600,11.440,4.464,91.8,5.0,3.079,0.0000,-6.0000
1788371801.814,11.446,4.503,91.8,6.0,3.037,0.0000,0.0000
1788371802.047,11.444,4.548,91.8,6.5,2.995,0.0000,0.0000
1788371802.267,11.451,4.583,91.0,7.7,2.951,0.0000,-6.0000
1788371802.488,11.454,4.627,90.7,8.3,2.908,0.0000,0.0000
1788371802.702,11.453,4.672,90.7,8.2,2.866,0.0000,0.0000
1788371802.939,11.458,4.695,90.5,9.3,2.824,0.0000,0.0000
1788371803.153,11.458,4.740,90.5,9.2,2.784,0.0000,0.0000
1788371803.368,11.454,4.774,90.2,8.8,2.744,0.0000,0.0000
1788371803.592,11.453,4.817,90.1,8.7,2.704,0.0000,0.0000
1788371803.810,11.453,4.862,90.1,8.6,2.666,0.0000,0.0000
1788371804.025,11.461,4.900,91.0,9.3,2.629,0.0000,0.0000
1788371804.235,11.460,4.937,91.0,8.9,2.592,0.0000,0.0000
1788371804.477,11.461,4.970,90.8,8.9,2.557,0.0000,0.0000
1788371804.689,11.461,5.010,90.7,8.8,2.523,0.0000,0.0000
1788371804.905,11.460,5.054,90.7,7.3,2.491,0.0000,0.0000
1788371805.132,11.468,5.085,90.5,8.9,2.461,0.0000,0.0000
1788371805.358,11.468,5.130,90.5,7.4,2.434,0.0000,0.0000
1788371805.576,11.471,5.152,90.3,6.2,2.411,0.0000,0.0000
1788371805.794,11.471,5.195,90.3,6.9,2.402,0.0000,0.0000
1788371806.036,11.471,5.233,90.3,5.3,3.784,0.0000,0.0000
1788371806.251,11.476,5.280,90.6,4.2,3.740,0.0000,0.0000
