ts,v_front,v_rear,set_left,set_right,meas_fl,meas_fr,meas_rl,meas_rr,stall,event
1788647752.155,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647752.237,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647752.350,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647752.456,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647752.545,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647752.642,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647752.735,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647752.838,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647752.941,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647753.035,41.58,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647753.135,41.58,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647753.268,41.58,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647753.349,41.58,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647753.437,41.58,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647753.536,41.58,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647753.637,41.58,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647753.755,41.58,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647753.846,41.58,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647753.946,41.58,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647754.036,41.58,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647754.134,41.58,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647754.244,41.56,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647754.347,41.56,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647754.436,41.56,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647754.534,41.56,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647754.638,41.56,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647754.734,41.56,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647754.837,41.56,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
